
	要	评论	来自	我们	的	是	男	自动控制	就是	你	版	东方	推荐	转发	of	看	・	肖	论道	刘	赞	相册	好友	中国	编辑	新闻	也	谁能	他	新	照片	25	登录	有	啊	搜索	最	被	全部	服务	会员	首页	人	吧	举报	广告	博	yy	更多	杰	就	娱乐	好男儿	资料	王	信息	中	请	游戏	新浪	网	好	京	上传	系统	评	和	注册	宽频	the	00	管理	微	第	臻	上海	在	我	小	上	10	自己	对	或	不	贴	百里挑一	只	与	了	平面	一	视频	相关	手机	道
Bing_16	0.0	0.0	0.05121806303116708	0.0	0.016402491467191305	0.0	0.032016592555578406	0.0	0.0	0.0	0.07298191650573528	0.04844488178506555	0.0	0.0	0.0	0.0	0.0	0.026761959762259497	0.0	0.05665902639980913	0.0	0.0	0.0	0.0	0.0	0.016486910434856835	0.0	0.16486910434856836	0.015775362075780387	0.0	0.0989715929962642	0.0	0.009332692594524515	0.007004206829896566	0.0	0.012700888113393202	0.015775362075780387	0.0	0.0	0.0	0.0	0.005336098759263068	0.0	0.01216365275095588	0.0	0.0	0.06988494572413885	0.0	0.011647490954023142	0.22830846997803417	0.0	0.0	0.030200639623612153	0.10911504597059951	0.0	0.0	0.0	0.0	0.0	0.026521982632484172	0.18378684630252307	0.0	0.015100319811806076	0.0	0.0	0.0	0.017829731583859133	0.0	0.0	0.0	0.0	0.0	0.07956594789745251	0.0	0.028488537811437526	0.044603246702375074	0.03403958903947809	0.011306466226293709	0.0	0.011647490954023142	0.0	0.0	0.0	0.0	0.015775362075780387	0.016486910434856835	0.3155072415156077	0.0	0.0	0.0	0.0	0.0	0.022301623351187537	0.013260991316242086	0.0	0.0
Baidu_14	0.0	0.0	0.0	0.13502113815905245	0.028488537811437526	0.0	0.0391313909012625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009496179270479174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05136418341924148	0.0	0.0	0.0	0.0	0.0	0.08541493366283637	0.2769996846212891	0.0	0.0	0.0	0.0	0.029762403601258508	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06843974569317977	0.0	0.031202956619521577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06537568247415015	0.0	0.0	0.0	0.0	0.2816993466714189	0.0	0.0	0.009496179270479174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15904041823988746	0.0	0.0	0.12090400985561678	0.0	0.0	0.0	0.0
Bing_18	0.007076476640280662	0.01943899335892071	0.0	0.004673808628582585	0.0032871389782427917	0.0	0.02031822219873245	0.0	0.0	0.0	0.054034688182130926	0.0	0.04587704372304447	0.0	0.0	0.0	0.0	0.004382851970990389	0.0	0.1318411960457097	0.0	0.017235587739646886	0.0	0.0	0.0	0.0	0.0	0.34527395122229027	0.010011287471168322	0.009582895265184625	0.23867380311022168	0.0	0.0	0.004444977411280513	0.013180715329745093	0.024180536985113982	0.0	0.0	0.0	0.0	0.0	0.006772740732910817	0.008415629104538247	0.015438482337751695	0.0	0.0	0.2661003702572979	1.7993405494535815	0.014783353903183218	0.03739046902866068	0.0	0.017573764178129826	0.028748685795553876	0.3600796517029784	0.008060178995037994	0.0	0.0	0.0054005117226095046	0.01612035799007599	0.008415629104538247	0.03887798671784142	0.0	0.0	0.0	0.0	0.039276511502689924	0.0	0.004673808628582585	0.0	0.0	0.0	0.0325037707697791	0.3029626477633769	0.0	0.004382851970990389	0.0	0.0	0.0	0.07574066194084422	0.014783353903183218	0.0	0.0	0.0	0.0	0.010011287471168322	0.0	0.3503950614908913	0.0	0.0	0.005922670300371327	0.0	0.0	0.014152953280561324	0.016831258209076494	0.01472725990980612	0.0
Bing_15	0.0	0.0	0.0	0.0	0.009496179270479174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003165393090159725	0.0	0.0	0.0	0.09958339582907089	0.0	0.0	0.0	0.0	0.0	0.0	0.05784299427786141	0.0	0.0	0.0	0.03421987284658989	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01956569545063125	0.0	0.0	0.06045200492780839	0.0	0.2562448009885091	0.0	0.0	0.027004227631810488	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.031202956619521577	0.09313984616488348	0.04862363482622098	0.0	0.0	0.11073567861991121	0.0	0.0	0.0	0.0	0.027004227631810488	0.0	0.0	0.0	0.0	0.43761271343598884	0.0	0.003165393090159725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Yahoo_15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.021189299069938	0.0	0.0	0.028488537811437526	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028488537811437526	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Google_1	0.0	0.0	0.0	0.0	0.009496179270479174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003165393090159725	0.0	0.0	0.0	0.09958339582907089	0.0	0.0	0.0	0.0	0.0	0.0	0.05784299427786141	0.0	0.0	0.0	0.03421987284658989	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01956569545063125	0.0	0.0	0.06045200492780839	0.0	0.2562448009885091	0.0	0.0	0.027004227631810488	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.031202956619521577	0.09313984616488348	0.04862363482622098	0.0	0.0	0.11073567861991121	0.0	0.0	0.0	0.0	0.027004227631810488	0.0	0.0	0.0	0.0	0.43761271343598884	0.0	0.003165393090159725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Baidu_15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5205869485007527	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Google_18	0.0	0.0	0.0	0.0	0.001899235854095835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015904041823988746	0.0	0.0	0.0	0.0	0.025639684030293774	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2720340221751378	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08382586154839514	0.0	0.016610351792986682	0.0	0.0	0.0	0.005869708635189375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.218734243817665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022846573238224827	0.025639684030293774	0.0	0.0	0.0	0.0	0.012812240049425454	0.0	0.0	0.0	0.0	0.0	0.0	0.5205869485007527	0.0	0.015904041823988746	0.0	0.0	0.0	0.12265892843153145	0.02917418089573259	0.0	0.0
Google_0	0.006032406316304826	0.0	0.0	0.011952690918998086	0.012609680670636282	0.023093935613859834	0.0	0.0	0.0	0.0	0.0	0.0	0.06257327930749672	0.0	0.8202996008922453	0.0	0.0	0.003269176470164962	0.0	0.0	0.0	0.0	0.05854628525878592	0.06243403787626113	0.0	0.01783829653607461	0.0	0.0	0.08534212270504142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.039108299567185444	0.006301101663651863	0.04086880592773118	0.008660225855197438	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025244168493385982	0.0	0.009207429822153909	0.0	0.0	0.011047296772282809	0.0	0.01633805094392133	0.03567659307214922	0.06257327930749672	0.0	0.028936777488558264	0.0	0.0	1.1003705451175627	0.0	0.0	0.007173978908786703	0.0	0.00233512605011783	0.0	0.018414859644307818	0.003058306438259774	0.0	0.012602203327303727	0.0	0.0	0.0	0.04086880592773118	0.0	0.0	0.0	0.0	0.0	0.010097667397354394	0.0	0.0	0.0	0.007173978908786703	0.004184795165627969	0.0
Baidu_4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
