	要	评论	来自	我们	的	是	男	自动控制	就是	你	版	东方	推荐	转发	of	看	・	肖	论道	刘	赞	相册	好友	中国	编辑	新闻	也	谁能	他	新	照片	25	登录	有	啊	搜索	最	被	全部	服务	会员	首页	人	吧	举报	广告	博	yy	更多	杰	就	娱乐	好男儿	资料	王	信息	中	请	游戏	新浪	网	好	京	上传	系统	评	和	注册	宽频	the	00	管理	微	第	臻	上海	在	我	小	上	10	自己	对	或	不	贴	百里挑一	只	与	了	平面	一	视频	相关	手机	道
Bing_19	0.0	0.0	0.0	0.0220943680623904	0.02330880366390343	0.0	0.0	0.0	0.05938295579775851	0.0	0.07298191650573528	0.0	0.0	0.0	0.0	0.0	0.0	0.01294933536883524	0.0	0.0	0.06230883610424953	0.08147732386014891	0.05411096061796881	0.0	0.0	0.0	0.0	0.0	0.33128260359138806	0.0	0.6532125137753436	0.0	0.11199231113429418	0.021012620489689698	0.0	0.0	0.0	0.0	0.0	0.034942472862069425	0.0	0.032016592555578406	0.0	0.0	0.0	0.024351057491938784	0.0	0.0	0.034942472862069425	0.0883774722495616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025529691779608565	0.15241065736071843	0.0	0.09189342315126153	0.047326086227341156	0.09060191887083645	0.0	0.0	0.0	0.0	0.0220943680623904	0.0	0.0	0.0	0.0	0.0	0.0	0.010359468295068192	0.0	0.0	0.03391939867888113	0.0	0.034942472862069425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06961977411908347	0.0
Bing_2	0.007509730312134579	0.15128032926942375	0.0	0.004959960177271314	0.028488537811437526	0.021562194986409947	0.0035936991644016578	0.0	0.019996301442102356	0.08484328117636518	0.008191847771051919	0.0	0.00486858423183329	0.4886859420920895	0.0	0.006665433814034118	0.0	0.017441961925369915	0.5936494792682901	0.02543874654685308	0.3217170517219415	0.0	0.042515754771261204	0.0	0.0	0.0	0.005805016613013343	0.0	0.11686645782669959	0.005084801569281637	0.2866136540034671	0.007348564320468947	0.0094279241516115	0.014151356656321633	0.09092003635620086	0.0	0.0	0.21356166590982878	0.00486858423183329	0.003922114300844526	0.0	0.0017968495822008289	0.013396307554162924	0.004095923885525959	0.0	0.0027332819633808835	0.0	0.0	0.007844228601689053	0.1388788849635968	0.0	0.0	0.005084801569281637	0.0	0.02566097802501892	0.0	0.0	0.011462310594926294	0.017107318683345942	0.017861743405550565	0.020629135809466875	0.05312111719395436	0.015254404707844912	0.0	0.0	0.458493154684462	0.0030019446034048537	0.004959960177271314	0.0	0.0	0.02902508306506672	0.0	0.0	0.0	0.016279164463678584	0.011264595468201868	0.005731155297463147	0.02284367666128729	0.004465435851387641	0.003922114300844526	0.01062422343879087	0.006073679253037314	0.0	0.0	0.01062422343879087	0.0	0.0	0.006665433814034118	0.0	0.012570565535481998	0.03449379755160231	0.005551714738268118	0.0	0.0	0.007814464441937941	0.0
Baidu_2	0.02299854908091215	0.0	0.0	0.015189878042893401	0.028488537811437526	0.11005703690980077	0.0	0.0	0.0	0.054701589179498605	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02314693697179299	0.0	0.0	0.0	0.0	0.037201285424853556	0.03400425277189222	0.0	0.0	0.0	0.0	0.032536684281297044	0.0	0.1633031284438359	0.0900199129257446	0.019248678476206812	0.028892353173323334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0250875337988465	0.0	0.016741352025707913	0.0	0.0	0.02402295009267273	0.0	0.0	0.05711473357892193	0.0	0.0	0.05239116346774696	0.0	0.0	0.0	0.02619558173387348	0.0	0.14741236630514873	0.0	0.03114440961185003	0.06800850554378444	0.0	0.0	0.03677382139170946	0.030379756085786802	0.0	0.0	0.0	0.0	0.0	0.0	0.02314693697179299	0.0	0.08775831549240444	0.03497937988759616	0.027350794589749303	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.038497356952413624	0.0	0.0	0.0	0.0	0.01595453156895663	0.0
Baidu_9	0.0	0.0	0.0	0.0	0.028488537811437526	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14588418558141972	0.0	0.0	0.004069791115919646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03886200316787682	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1197512307834216	0.0	0.0	0.0	0.0	0.0	0.025155894150811604	0.0	0.0	0.0	0.0	0.0	0.0	0.08236440031773506	0.0	0.0	0.0	0.0	0.0	0.1197512307834216	0.0	0.1958219436991609	0.0	0.0	0.0	0.0	0.0	0.03559361098497146	0.0	0.20448053773699817	0.0	0.0	0.0	0.0	0.31439158431930364	0.0	0.18109243714591214	0.0	0.0	0.004069791115919646	0.026284056092471024	0.22064947895233117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10224026886849909	0.0219984896870935	0.0	0.0	0.0	0.031258050959713485	0.0	0.0
Yahoo_19	0.00584090135388245	0.010696588938242083	0.0	0.007715493609088711	4.521990128799607E-4	0.0	0.0	0.0	0.0	0.006946233546602997	0.0	0.0	0.0	0.0	0.01620935395349108	0.0	0.0	0.0022609950643998037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008636000703972628	0.0	0.0	0.0	0.0	0.0	0.7201593034059568	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006101066690202597	0.009892845879331752	0.0027950993500901783	0.013892467093205994	0.0	0.008636000703972628	0.00425177194303693	0.0	0.0	0.0	0.019288734022721778	0.0	0.014505329162900807	0.03163876531997463	0.057155500270314026	0.0	0.004888553263798555	0.014505329162900807	0.0	0.0	0.027784934186411987	0.0053482944691210415	0.0	0.0	0.017272001407945256	0.0	0.0	0.004669691605296439	0.0038577468045443556	0.0	0.0	0.0	0.0	0.0	0.0	0.0022609950643998037	0.02920450676941225	0.0	0.0029612173449816855	0.006946233546602997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0350454081232947	0.006946233546602997	0.008103889050898604	0.0
Baidu_16	0.02207860711767566	0.01010827654663877	0.0	0.0	0.028488537811437526	0.014087300724454499	0.0	0.13170086139381812	0.019596375413260307	0.008752254268719777	0.0	0.0	0.0	0.0	0.0	0.006532125137753436	0.0	0.0011395415124575011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028444581403765386	0.0	0.0	0.0	0.0	0.0	0.01539894278096545	0.04622776507731734	0.0	0.004191293077419757	0.005205869485007527	0.0	0.0	0.0	0.0	0.0017609125905568123	0.0	0.0	0.0	0.0	0.0038436720148276367	0.0	0.0	0.0	0.011904411335953139	0.0	0.0	0.0	0.033530344619358055	0.01539894278096545	0.04112260817682379	0.002808266095756942	0.0	0.0	0.0	0.005205869485007527	0.0	0.0	0.0	0.0	0.06472192564940865	0.0048607609737258885	0.0	0.0	0.005688916280753077	0.0	0.0	0.0	8.546561343431258E-4	0.0	0.014041330478784711	0.001865566927338462	0.0	0.019218360074138185	0.0	0.023808822671906277	0.03264408266101653	0.0	0.010411738970015055	0.0	0.0	0.0	0.023856062735983122	0.027718097005737807	0.0	0.0	0.0	0.004376127134359888	0.0	0.02042378598139876
Google_5	0.0	0.0	0.0	0.007478093805732136	0.028488537811437526	0.0704365036222725	0.01625457775898596	0.0	0.010049423288851441	0.0	0.0061753929351006775	0.0	0.0	0.0	0.0	0.010049423288851441	0.0	0.005259422365188467	0.0	0.019176901243012322	0.0	0.0	0.0	0.0	0.0	0.008370277605388856	0.1312826834019941	0.06696222084311085	0.08809932974628124	0.0	0.0	0.0	0.014214408720891185	0.024891873503170875	0.0	0.01289628639206079	0.008009029976934657	0.0229989486364431	0.0	0.0	0.0	0.0	0.04039501970178359	0.08645550109140948	0.0	0.020604740954717433	0.0	0.0	0.011826683122546575	0.03739046902866068	0.018314478978389444	0.0	0.0076663162121477	0.0	0.019344429588091187	0.0	0.0	0.0	0.0	0.0	0.0	0.04805417986160795	0.0	0.0	0.0	0.0	0.018104035146687736	0.003739046902866068	0.0	0.0	0.0	0.0	0.0	0.0	0.004382851970990389	0.0	0.017281637512350415	0.060272162267858004	0.020197509850891793	0.02365336624509315	0.0	0.06410067642436305	0.025110832816166564	0.009588450621506161	0.04004514988467329	0.10044333126466626	0.03203611990773863	0.010049423288851441	0.0	0.03790508992237649	0.0	0.016740555210777712	0.00566118131222453	0.0	0.007854538618563264	0.0
Bing_10	0.0	0.010529454736082052	0.0	0.0075949390214467005	0.004451334033037113	0.011005703690980077	0.0	0.0	0.0	0.0	0.0	0.07493817651127327	0.0	0.0	0.0	0.020412891055479488	1.1003705451175627	0.002670800419822268	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05100637915783833	0.017777863377353365	0.0	0.0	0.06228881922370006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012011475046336364	0.01947654032493439	0.011005703690980077	0.0	0.0	0.0	0.008370676012853956	0.0	0.0	0.0	0.0227848170643401	0.018600642712426778	0.11422946715784386	0.0934332288355501	0.0	0.02619558173387348	0.009624339238103406	0.014278683394730483	0.008775831549240444	0.02619558173387348	0.08205238376924791	0.0	0.016268342140648522	0.0	0.0	0.0	0.0	0.03677382139170946	0.0075949390214467005	0.08263870592086994	0.0	0.0	0.0	0.0	0.0	0.002670800419822268	0.0	0.008775831549240444	0.005829896647932694	0.027350794589749303	0.012011475046336364	0.06507336856259409	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013675397294874651	0.0	0.0
Google_8	0.007509730312134579	0.15128032926942375	0.0	0.004959960177271314	0.028488537811437526	0.021562194986409947	0.0035936991644016578	0.0	0.019996301442102356	0.08484328117636518	0.008191847771051919	0.0	0.00486858423183329	0.4886859420920895	0.0	0.006665433814034118	0.0	0.017441961925369915	0.5936494792682901	0.02543874654685308	0.3217170517219415	0.0	0.042515754771261204	0.0	0.0	0.0	0.005805016613013343	0.0	0.11686645782669959	0.005084801569281637	0.2866136540034671	0.007348564320468947	0.0094279241516115	0.014151356656321633	0.09092003635620086	0.0	0.0	0.21356166590982878	0.00486858423183329	0.003922114300844526	0.0	0.0017968495822008289	0.013396307554162924	0.004095923885525959	0.0	0.0027332819633808835	0.0	0.0	0.007844228601689053	0.1388788849635968	0.0	0.0	0.005084801569281637	0.0	0.02566097802501892	0.0	0.0	0.011462310594926294	0.017107318683345942	0.017861743405550565	0.020629135809466875	0.05312111719395436	0.015254404707844912	0.0	0.0	0.458493154684462	0.0030019446034048537	0.004959960177271314	0.0	0.0	0.02902508306506672	0.0	0.0	0.0	0.016279164463678584	0.011264595468201868	0.005731155297463147	0.02284367666128729	0.004465435851387641	0.003922114300844526	0.01062422343879087	0.006073679253037314	0.0	0.0	0.01062422343879087	0.0	0.0	0.006665433814034118	0.0	0.012570565535481998	0.03449379755160231	0.005551714738268118	0.0	0.0	0.007814464441937941	0.0
Baidu_18	0.003833091513485358	0.0	0.0	0.0	0.028488537811437526	0.029348543175946873	0.0	0.2868484670509296	0.0	0.0	0.02090627816570542	0.0	0.009940026139992966	0.0	0.0	0.006804297018493163	0.0	5.935112044049484E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.021274777063957043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0024076960977769445	0.0	0.0	0.0	0.005190734935308338	0.0	0.0	0.0	0.007337135793986718	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0349274423118313	0.0032081130793678017	0.01903824452630731	0.0	0.0	0.0	0.0035098182453606836	0.0	0.010381469870616677	0.0	0.5367614115596202	0.0	0.09806352371122523	0.0	0.0	0.0	0.0	0.0	0.0	0.07139554136945259	5.935112044049484E-4	0.0	0.005850554366160296	0.0	0.0	0.004003825015445455	0.005422780713549507	0.0	0.022669501847928146	0.032460900541557314	0.0	0.0	0.0	0.013608594036986325	0.029820078419978902	0.012832452317471207	0.0	0.0	0.0	0.004558465764958217	0.0	0.0
